sample	TCGA-KM-8442-01	TCGA-KN-8428-01	TCGA-KN-8430-01	TCGA-KL-8343-01	TCGA-KL-8324-01	TCGA-KN-8421-01	TCGA-KL-8333-01	TCGA-KM-8441-01	TCGA-KL-8335-01	TCGA-KN-8427-01	TCGA-KO-8407-01	TCGA-KL-8346-01	TCGA-KO-8405-01	TCGA-KO-8408-01	TCGA-KO-8410-01	TCGA-KO-8416-01	TCGA-KL-8338-01	TCGA-KO-8406-01	TCGA-KN-8432-01	TCGA-KL-8334-01	TCGA-KL-8332-01	TCGA-KO-8415-01	TCGA-KL-8330-01	TCGA-KM-8438-01	TCGA-KN-8434-01	TCGA-KN-8423-01	TCGA-KM-8476-01	TCGA-KN-8418-01	TCGA-KO-8413-01	TCGA-KO-8417-01	TCGA-KN-8425-01	TCGA-KO-8411-01	TCGA-KN-8424-01	TCGA-KL-8336-01	TCGA-KO-8403-01	TCGA-KN-8436-01	TCGA-KM-8439-01	TCGA-KN-8435-01	TCGA-KN-8429-01	TCGA-KL-8340-01	TCGA-KM-8440-01	TCGA-KM-8639-01	TCGA-KL-8329-01	TCGA-KN-8419-01	TCGA-KL-8328-01	TCGA-KL-8325-01	TCGA-KO-8409-01	TCGA-KM-8443-01	TCGA-KL-8337-01	TCGA-KL-8326-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8341-01	TCGA-KL-8327-01	TCGA-KL-8342-01	TCGA-KL-8339-01	TCGA-KO-8404-01	TCGA-KO-8414-01	TCGA-KN-8426-01	TCGA-KN-8431-01	TCGA-KN-8433-01	TCGA-KL-8331-01	TCGA-KN-8437-01
14-3-3_beta-R-V	0.059905185	0.046959991	0.09188144	0.087689766	0.060939561	0.032406089	0.020962595	0.190226984	0.03667024	-0.018358167	0.031666234	0.047495203	0.01227908	0.022155819	-0.00853745	0.077498115	0.029162849	-0.04779695	0.052891716	0.110645144	0.085877362	0.039459345	0.066004775	0.195631385	0.144678323	-0.002538291	0.07143273	-0.086868192	0.21591674	0.064767021	0.042203941	0.05596709	-0.076996124	-0.156320185	-0.155765688	0.148895336	0.253705553	0.102665219	0.146891691	-0.003050026	0.121143754	0.150769136	0.023084679	0.05659365	0.002929507	-0.052053405	0.052184705	0.088957837	0.188142311	0.01516969	0.107420213	0.085040518	0.091298905	0.038885064	0.092484633	0	-0.041627339	-0.001466864	-0.214067167	-0.001773198	0.055344607	0.063353249	0.176250219
14-3-3_epsilon-M-C	-0.106994235	-0.221606272	-0.404189066	-0.121423123	0.115560626	0.015008675	-0.093983487	-0.896634376	0.502910626	-1.299077895	-0.115487172	0.56235334	0.209815342	0.182945522	-0.06970001	-0.542375274	0.264865705	0.096803353	-0.099188995	0.150058406	-0.189093084	0.026822151	-0.532338646	0.030488368	0.0027225	-0.333935536	-0.448848304	0.197770825	-0.030654647	-0.231340721	0.059128412	-0.39498001	0	-0.224090228	0.04622554	-0.774547262	-0.715663855	-0.064493976	0.384836355	0.610547455	0.551218948	-0.633964659	0.108826973	-0.022690178	0.147600726	-0.189685253	-0.06519392	0.663622447	0.178743547	0.117181359	-0.670832849	0.021278915	-0.271556091	-0.005089244	0.423330337	-0.134890729	-0.769305454	0.394935068	-0.082071799	0.193677388	-0.031838107	0.287763942	-0.995769823
14-3-3_zeta-R-V	-0.258279091	0.104062246	-0.319344954	-0.310561383	0.299021734	0.424715421	-0.11160436	-0.320214535	-0.364215175	0.50085118	-0.213747666	0.294733436	0.003730321	-0.043502305	-0.086798423	-0.409273861	0.038334943	-0.060242943	-0.210174982	0.08902385	0.27907957	0.095417266	-0.155251687	-0.065881237	0.085100011	-0.308800083	-0.358396751	-0.020721387	0.143211803	-0.381853736	0.040221951	-0.438504664	0.317544472	0.128795722	0.044262155	-0.330833367	-0.288586556	-0.169957281	0.262355248	0.366749451	0.238325291	0.112621872	0.146633037	-0.185890388	0.093430512	-0.279878666	-0.115688118	0.169511993	-0.262017744	-0.195266777	-0.301888222	-0.167667044	0.734652663	-0.384258471	0.048605562	-0.215647706	0.127336739	0.053104811	0.382116749	-0.340679986	-0.303834839	0.179954954	-0.297541604
4E-BP1-R-V	-0.18780435	0.601692485	0.394042388	-0.254844456	0.007337247	0.005890163	-0.373993093	0.675054463	0.292394293	1.24110162	-0.07777096	-0.027978517	-0.629923595	-0.249011913	-0.389131137	-0.103397268	-0.394227792	-0.18559749	-0.102798421	-0.049493508	-0.315983064	-0.122419031	-0.155542133	-0.315356683	0.016140555	-0.232911985	-0.103804786	0.057902882	-0.329243759	-0.123776111	-0.617009573	-0.091114251	-0.054711278	0.059742368	-0.300492436	0.316954376	0.385750548	0.194300315	0.142391436	-0.241404294	-0.18274055	-0.220085941	0.167559177	-0.061910202	0.231209626	-0.045329778	-0.108447113	-0.121657216	-0.240789604	-0.11323475	0.059655144	-0.071562719	0.284285705	-0.263081062	-0.293259826	0.422698671	0.698561532	-0.122737297	0.449834495	-0.206338001	0.089871092	-0.166704303	0.385783718
4E-BP1_pS65-R-V	-0.023852606	0.230645993	-0.082805943	0.069535385	0.109083801	-0.093951565	0.140190723	0.375873516	0.022855131	0.371705188	-0.317041804	-0.015140347	-0.253967315	0.007606118	-0.282481557	-0.055430689	-0.22095914	0.173402388	0.192274739	-0.051420134	-0.114792592	0.072551197	-0.053234132	-0.379824607	0.024893293	0.005902076	0.118381518	0.091895408	-0.213858453	0.092244093	-0.051793122	-0.132713286	0.089169647	0.026646604	0.00473589	-0.072117831	0.019553601	0.041573719	0.00515076	0.089768396	-0.098936405	0.580974124	0.053972624	0.186221235	0.312211767	-0.191458242	0.046965489	0	0.120595427	0.027126403	-0.14299916	0.003273149	0.009738159	-0.100310202	-0.110350298	-0.115145525	0.221223638	0.30944497	-0.080241091	0.066908055	0.323164929	-0.13882147	-0.030303346
4E-BP1_pT37_T46-R-V	0.420920896	0.318575013	0.083114594	0.382252621	-0.269626385	-0.114774793	0.125900201	0.461136967	-0.275968842	0.232341564	-0.304636176	-0.693513119	0.381622326	0.070074829	0.083848999	0.426617671	-0.520326594	0.868660266	-0.456149412	-0.805722303	-0.742604694	0.763731779	-0.76182529	-0.916159518	-0.246688927	0.368402851	0.13287621	-0.126459237	-0.13305408	0.256247162	-0.312638103	-0.214724685	0.711236184	0.11372134	0.218154151	0.016500842	0.171626601	-0.160059836	-1.114088283	-0.681916894	-0.631597251	-0.585452842	-0.650685629	-0.41529298	0.110599556	0.356869686	0.400314219	-0.80582823	-0.255410612	-0.252073196	-0.298594535	1.006150617	0.098538951	0.327582611	-0.580773129	-0.395987547	0.473908307	-0.114840132	-0.614632376	0	0.457984448	-0.847816949	0.096426017
4E-BP1_pT70-R-V	0.069463731	0.474474314	0.089806409	0.021596935	0.112109262	0.084612436	-0.018260009	0.512671028	0.088272589	0.173009271	-0.066740984	0.281953068	-0.048442809	-0.008511382	-0.111113788	0.000324079	-0.045753269	0.091517099	-0.139207487	0.100214591	0.041710369	0.213182271	0.043007693	0.076031939	-0.003133727	-0.234891021	-0.071141521	-0.15233155	0.089273767	-0.192106439	-0.139050327	-0.639780911	0.069347681	0.228349324	-0.181692103	-0.008034603	0.120714143	0.024846433	0.02119469	0.071324035	0.023569762	0.267541268	0.008493442	-0.053701989	0.477271717	-0.150328103	0.056248705	0.258659982	0.198163737	-0.008648479	0.053495463	0.192666246	0.335988501	-0.144187705	-0.105055144	0.126559556	1.056519717	0.076567998	0.060737149	-0.21372372	0.162881557	0.011387266	0.141170873
53BP1-R-E	0.084808845	0.103392494	0.159522326	0.180461993	0.450783511	-0.444421024	-0.028256093	-0.499983392	-0.455320539	0.368321012	0.103902081	0.234532338	0.130576259	0.506742583	-0.531253164	0.013473599	0.009892922	0.180441056	0.21390899	0.41678371	-0.024394928	-0.113810772	0.251062176	0.190739334	-0.071606218	-0.192930676	-0.137972176	0.364573321	-0.266258329	0.001894505	-0.305040048	0.030227983	0.325457237	0.182165022	0.289679819	0.024414057	-0.258617873	-0.126201838	0.154248437	-0.063999851	0.123289507	-0.464372883	0.083758668	-0.310064473	0.686959042	0.085399409	-0.046834944	0.11801797	-0.541441579	0.199961106	0.045106316	0.130985115	0.104599789	0.055677816	0.019780761	0.429726556	1.049794608	0.115254967	0.160230603	0.197853606	-0.610082157	0.342113626	-0.316015207
A-Raf_pS299-R-C	-0.027223369	-0.068779828	0.146322821	0.019555687	-0.07196929	0	0.092689643	0.24848834	0.125645603	-0.589472298	-0.096758369	-0.090178437	-0.005224032	-0.111892132	0.403212106	0.107690342	-0.073910059	0.114132539	0.111956005	0.046757798	0.038120163	0.005762607	0.04016917	-0.047281965	-0.040187106	0.018141456	0.087390984	-0.056905432	0.071325221	-0.00048008	-0.093821009	0.024238761	-0.007151074	-0.113410653	-0.035729325	0.134737248	0.12013832	0.099684433	0.076278666	0.066635924	-0.039391436	0.084408741	-0.055346843	0.109363926	-0.110689905	0.034896638	-0.024274054	0.367407387	0.011277047	-0.025634568	0.124927099	0.069018912	0.065421147	-0.082708511	-0.097775221	-0.069358297	-0.054711536	0.01550539	-0.068647501	-0.094581036	0.089192283	0.132883388	0.192541105
ACC_pS79-R-V	0.247511395	-0.585255186	0.08766641	0.700142936	-0.606484859	-0.380277151	0.493536279	0.63058014	-0.80816611	0.630093549	-0.118740142	-1.084574186	0.33542629	-0.194127105	0.009803173	0.442598003	-0.633904159	0.748922572	-0.234224186	-0.933859814	-0.66054742	0.188165733	-0.305875396	-0.911872341	-0.14080405	0.237621636	0.26076581	-0.129092099	-0.002802838	0.151603711	0.10570336	0.598380731	0.062850299	0.025692477	0.709101477	0.213945741	0.533622037	0.036422132	-1.314910241	-1.155986843	-0.656462359	-0.540756459	-0.631853488	-0.398344294	0.186104045	0.476589277	0.253701254	-0.826747384	-0.84690958	-0.128033039	0.305266276	1.199253931	0.347156397	0.371748764	-0.182565761	-0.511955734	-0.083189743	-0.536089798	0.079811958	0.145640784	-0.666393527	-0.44466417	0.424191088
